"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","202202","11","22,700","13","1997","경강로2539번길 8","","중개거래","강원 강릉시"
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","202202","15","19,300","13","1997","경강로2539번길 8","","중개거래","강원 강릉시"
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","202202","16","27,800","15","1997","경강로2539번길 8","","중개거래","강원 강릉시"
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","202202","24","21,000","12","1997","경강로2539번길 8","","중개거래","강원 강릉시"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","59.99","202202","21","32,000","11","2005","경강로2539번길 22","20220305","중개거래","강원 강릉시"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","84.99","202202","23","24,200","12","2005","경강로2539번길 22","","직거래","-"
"강원도 강릉시 교동","1984","1984","0000","강릉교동풍림아이원아파트","84.9964","202202","18","43,500","17","2017","화부산로40번길 29","","중개거래","강원 강릉시"
"강원도 강릉시 교동","797-1","0797","0001","강원","59.49","202202","5","9,600","4","1985","화부산로131번길 6","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","84.84","202202","5","40,000","2","1999","가작로 78","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","202202","22","24,800","3","1999","가작로 78","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.84","202202","4","30,000","11","2002","교동광장로 138-12","","중개거래","강원 강릉시"
"강원도 강릉시 교동","18-16","0018","0016","교동대림","118.273","202202","28","32,700","3","1997","수리골길17번길 21","","중개거래","강원 강릉시"
"강원도 강릉시 교동","332-2","0332","0002","대인맨션","78.96","202202","14","19,000","8","1991","화부산로141번길 45","","직거래","-"
"강원도 강릉시 교동","318-4","0318","0004","매화임대","48.6","202202","22","13,000","3","1987","율곡로2968번길 26","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1773","1773","0000","부영1","59.58","202202","5","20,300","5","1999","정원로 53-4","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1773","1773","0000","부영1","49.92","202202","9","17,400","6","1999","정원로 53-4","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1773","1773","0000","부영1","49.92","202202","18","17,000","2","1999","정원로 53-4","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1773","1773","0000","부영1","59.58","202202","26","21,500","7","1999","정원로 53-4","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1762","1762","0000","부영5","84.93","202202","11","38,000","2","2001","교동광장로 163","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1762","1762","0000","부영5","84.93","202202","15","42,600","11","2001","교동광장로 163","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1762","1762","0000","부영5","84.93","202202","15","42,600","11","2001","교동광장로 163","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1034","1034","0000","정아타워맨션","76.29","202202","28","14,500","6","1992","화부산로 29","","중개거래","강원 강릉시"
"강원도 강릉시 교동","828-19","0828","0019","현대","84.945","202202","11","18,700","4","1992","옛강일길 41","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1759","1759","0000","현대하이빌","122.74","202202","12","50,000","11","1999","원대로128번길 14","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1759","1759","0000","현대하이빌","122.74","202202","17","50,000","2","1999","원대로128번길 14","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1759","1759","0000","현대하이빌","99.96","202202","22","41,500","3","1999","원대로128번길 14","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","616","0616","0000","강부2","41.18","202202","8","6,500","2","1988","관대길 63","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","616","0616","0000","강부2","41.18","202202","9","5,875","1","1988","관대길 63","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","616","0616","0000","강부2","41.18","202202","19","6,700","3","1988","관대길 63","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","616","0616","0000","강부2","24.795","202202","22","3,950","4","1988","관대길 63","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","75-1","0075","0001","관동2","49.94","202202","19","8,200","2","1992","남산초교길12번길 11","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","127","0127","0000","남산삼익","71.72","202202","16","16,300","2","1993","남부로125번길 37","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","469","0469","0000","내곡동현대","84.865","202202","12","25,700","18","1998","범일로 645","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","623","0623","0000","내곡주공","39.3","202202","15","9,500","5","1989","관대길16번길 6","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","59.97","202202","8","17,400","6","1997","강변로 114","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","59.97","202202","14","17,300","3","1997","강변로 114","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","59.97","202202","26","15,500","1","1997","강변로 114","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","59.97","202202","26","21,500","15","1997","강변로 114","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","59.97","202202","26","17,000","16","1997","강변로 114","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","136","0136","0000","삼익타워맨션","84.86","202202","13","14,000","3","1993","남산초교길 65","","중개거래","강원 강릉시"
"강원도 강릉시 노암동","605","0605","0000","노암3한라","39.762","202202","12","8,150","3","2000","남부로125번길 7","","중개거래","강원 강릉시"
"강원도 강릉시 노암동","605","0605","0000","노암3한라","74.64","202202","22","16,000","2","2000","남부로125번길 7","","직거래","-"
"강원도 강릉시 노암동","711","0711","0000","신화","59.944","202202","14","18,000","10","1998","강변로 270","","직거래","-"
"강원도 강릉시 노암동","711","0711","0000","신화","84.954","202202","24","28,500","12","1998","강변로 270","","중개거래","강원 강릉시"
"강원도 강릉시 노암동","844","0844","0000","양우내안애","84.4413","202202","14","33,500","7","2009","강변로 328-8","","중개거래","강원 강릉시"
"강원도 강릉시 노암동","844","0844","0000","양우내안애","84.4413","202202","27","33,000","10","2009","강변로 328-8","","중개거래","강원 강릉시"
"강원도 강릉시 송정동","1065","1065","0000","강릉송정신원아침도시","84.9522","202202","5","44,000","4","2020","경강로 2498","","중개거래","강원 강릉시"
"강원도 강릉시 송정동","1065","1065","0000","강릉송정신원아침도시","75.9722","202202","12","43,500","3","2020","경강로 2498","","중개거래","강원 강릉시"
"강원도 강릉시 송정동","1065","1065","0000","강릉송정신원아침도시","75.9722","202202","24","47,500","9","2020","경강로 2498","","중개거래","강원 강릉시"
"강원도 강릉시 송정동","1063","1063","0000","강릉송정한신더휴","84.961","202202","5","52,750","14","2019","경강로 2448","","중개거래","강원 강릉시"
"강원도 강릉시 송정동","1063","1063","0000","강릉송정한신더휴","84.9955","202202","10","54,300","17","2019","경강로 2448","","중개거래","강원 강릉시"
"강원도 강릉시 송정동","39-10","0039","0010","삼익비치맨션","84.544","202202","17","22,500","2","1992","해안로 107","","중개거래","강원 강릉시"
"강원도 강릉시 연곡면 영진리","305-2","0305","0002","삼우그린","30.24","202202","3","5,650","8","1999","연주로 132","","중개거래","강원 강릉시"
"강원도 강릉시 연곡면 영진리","305-2","0305","0002","삼우그린","30.24","202202","12","4,500","1","1999","연주로 132","","중개거래","강원 강릉시"
"강원도 강릉시 연곡면 영진리","305-2","0305","0002","삼우그린","30.24","202202","12","4,500","1","1999","연주로 132","20220216","중개거래","강원 강릉시"
"강원도 강릉시 연곡면 영진리","305-2","0305","0002","삼우그린","30.24","202202","15","6,200","7","1999","연주로 132","","중개거래","강원 강릉시"
"강원도 강릉시 연곡면 영진리","380","0380","0000","영진부영3","84.9157","202202","10","23,000","1","2008","영진3길 15","","직거래","-"
"강원도 강릉시 연곡면 영진리","381","0381","0000","영진코아루비치테라스","36.5333","202202","9","18,100","13","2019","홍질목길 12","","중개거래","강원 강릉시"
"강원도 강릉시 연곡면 영진리","381","0381","0000","영진코아루비치테라스","29.9674","202202","12","12,000","3","2019","홍질목길 12","","중개거래","강원 강릉시"
"강원도 강릉시 연곡면 영진리","381","0381","0000","영진코아루비치테라스","43.5566","202202","16","22,500","14","2019","홍질목길 12","","중개거래","강원 강릉시"
"강원도 강릉시 유천동","778","0778","0000","엘에이치선수촌8단지","84.77","202202","23","60,000","8","2018","선수촌로 113","","중개거래","강원 강릉시"
"강원도 강릉시 유천동","778","0778","0000","엘에이치선수촌8단지","74.88","202202","24","48,000","16","2018","선수촌로 113","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","711","0711","0000","강릉더샵","84.94","202202","24","37,750","11","2014","입암로29번길 11","","직거래","-"
"강원도 강릉시 입암동","321","0321","0000","강릉입암동금호어울림","84.96","202202","7","36,000","10","2007","성덕로 328-15","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","321","0321","0000","강릉입암동금호어울림","84.77","202202","10","37,000","15","2007","성덕로 328-15","","직거래","-"
"강원도 강릉시 입암동","321","0321","0000","강릉입암동금호어울림","84.77","202202","24","37,500","8","2007","성덕로 328-15","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","92-1","0092","0001","녹원","81.91","202202","15","16,800","7","1992","월대산로 57","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","506-9","0506","0009","대인3","59.685","202202","28","9,500","12","1993","강변로410번길 27","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","543-3","0543","0003","에버그린","59.85","202202","10","15,000","6","2000","강변로440번길 30","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","543-3","0543","0003","에버그린","59.85","202202","15","15,000","7","2000","강변로440번길 30","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","90-5","0090","0005","은하","39.85","202202","24","5,900","5","2001","월대산로 47","","직거래","-"
"강원도 강릉시 입암동","210","0210","0000","이안강릉타운","84.7","202202","11","34,000","12","2006","성덕로 316-22","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","210","0210","0000","이안강릉타운","84.7","202202","14","34,200","6","2006","성덕로 316-22","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","210","0210","0000","이안강릉타운","84.7","202202","19","32,800","3","2006","성덕로 316-22","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","210","0210","0000","이안강릉타운","84.7","202202","25","34,200","8","2006","성덕로 316-22","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","685","0685","0000","입암4주공","59.8","202202","10","16,800","13","1996","성덕포남로 89","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","685","0685","0000","입암4주공","59.8","202202","24","15,500","3","1996","성덕포남로 89","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","685","0685","0000","입암5주공","49.97","202202","7","12,800","3","1996","성덕포남로 89-17","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","685","0685","0000","입암5주공","49.97","202202","8","13,000","12","1996","성덕포남로 89-17","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","685","0685","0000","입암5주공","49.97","202202","11","12,900","11","1996","성덕포남로 89-17","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","685","0685","0000","입암5주공","49.97","202202","11","13,500","5","1996","성덕포남로 89-17","","직거래","-"
"강원도 강릉시 입암동","685","0685","0000","입암5주공","49.97","202202","12","13,300","7","1996","성덕포남로 89-17","","직거래","-"
"강원도 강릉시 입암동","685","0685","0000","입암5주공","49.97","202202","19","13,300","5","1996","성덕포남로 89-17","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","685","0685","0000","입암5주공","39.99","202202","22","9,500","7","1996","성덕포남로 89-17","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","59.99","202202","3","18,300","9","1998","성덕포남로 39","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","49.62","202202","4","13,700","2","1998","성덕포남로 39","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","49.62","202202","7","13,000","7","1998","성덕포남로 39","","직거래","-"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","49.62","202202","14","13,900","4","1998","성덕포남로 39","","중개거래","서울 영등포구"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","49.62","202202","16","13,500","7","1998","성덕포남로 39","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","49.62","202202","19","13,800","7","1998","성덕포남로 39","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","49.62","202202","19","13,800","11","1998","성덕포남로 39","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","49.62","202202","19","13,800","9","1998","성덕포남로 39","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","59.99","202202","19","16,700","1","1998","성덕포남로 39","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","59.99","202202","19","17,000","6","1998","성덕포남로 39","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","49.62","202202","25","14,400","4","1998","성덕포남로 39","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","49.62","202202","26","13,900","6","1998","성덕포남로 39","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","49.62","202202","26","13,200","9","1998","성덕포남로 39","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","59.99","202202","28","16,800","3","1998","성덕포남로 39","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","712","0712","0000","입암동강변코아루오투리움아파트","79.191","202202","10","38,500","12","2019","월대산로 23","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","712","0712","0000","입암동강변코아루오투리움아파트","79.191","202202","13","35,200","2","2019","월대산로 23","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","712","0712","0000","입암동강변코아루오투리움아파트","79.191","202202","26","35,000","10","2019","월대산로 23","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","639-84","0639","0084","입암백조","55.59","202202","5","10,000","5","1986","강변로 368","","중개거래","강원 강릉시, 경기 안양만안구"
"강원도 강릉시 입암동","639-84","0639","0084","입암백조","55.59","202202","15","6,900","4","1986","강변로 368","","직거래","-"
"강원도 강릉시 입암동","440","0440","0000","입암현대","84.904","202202","15","28,500","8","1998","용지로 19","","직거래","-"
"강원도 강릉시 입암동","440","0440","0000","입암현대","59.956","202202","16","20,500","11","1998","용지로 19","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","506-5","0506","0005","태평양임대","34.722","202202","9","5,850","3","1998","강변로410번길 31-5","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","506-5","0506","0005","태평양임대","34.722","202202","14","5,900","7","1998","강변로410번길 31-5","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","506-5","0506","0005","태평양임대","39.348","202202","21","6,700","6","1998","강변로410번길 31-5","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","506-5","0506","0005","태평양임대","39.348","202202","23","6,500","13","1998","강변로410번길 31-5","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","506-5","0506","0005","태평양임대","39.348","202202","24","6,200","4","1998","강변로410번길 31-5","20220228","중개거래","강원 강릉시"
"강원도 강릉시 입암동","506-5","0506","0005","태평양임대","39.348","202202","24","6,200","4","1998","강변로410번길 31-5","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","506-5","0506","0005","태평양임대","39.348","202202","25","6,500","5","1998","강변로410번길 31-5","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","506-5","0506","0005","태평양임대","39.348","202202","25","6,400","2","1998","강변로410번길 31-5","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","506-5","0506","0005","태평양임대","34.722","202202","26","4,800","7","1998","강변로410번길 31-5","","중개거래","강원 강릉시"
"강원도 강릉시 저동","4-4","0004","0004","경포현대","84.915","202202","17","35,000","2","1996","경포로463번안길 14","","중개거래","강원 강릉시"
"강원도 강릉시 주문진읍 교항리","1256","1256","0000","교항2주공","49.85","202202","3","12,200","14","2000","연주로 241-7","","중개거래","강원 강릉시"
"강원도 강릉시 주문진읍 교항리","44-1","0044","0001","소훈","67.89","202202","9","6,900","3","1991","매맥이길 14-3","","중개거래","강원 강릉시"
"강원도 강릉시 주문진읍 교항리","1166-1","1166","0001","우신그린피아임대","59.98","202202","4","8,550","3","1999","보리골길 26","","중개거래","강원 강릉시"
"강원도 강릉시 주문진읍 교항리","1166-1","1166","0001","우신그린피아임대","59.98","202202","14","8,100","1","1999","보리골길 26","","중개거래","강원 강릉시"
"강원도 강릉시 주문진읍 교항리","1166-1","1166","0001","우신그린피아임대","59.98","202202","14","8,700","4","1999","보리골길 26","","직거래","-"
"강원도 강릉시 주문진읍 교항리","1166-1","1166","0001","우신그린피아임대","49.86","202202","19","7,400","11","1999","보리골길 26","","중개거래","강원 강릉시"
"강원도 강릉시 주문진읍 주문리","61","0061","0000","주문진라일플로리스4차","45.6995","202202","9","14,000","8","2017","오리나루2길 25","","직거래","-"
"강원도 강릉시 주문진읍 주문리","61","0061","0000","주문진라일플로리스4차","27.902","202202","11","11,400","10","2017","오리나루2길 25","","중개거래","강원 강릉시"
"강원도 강릉시 주문진읍 주문리","61","0061","0000","주문진라일플로리스4차","21.305","202202","19","9,500","4","2017","오리나루2길 25","","중개거래","강원 강릉시"
"강원도 강릉시 주문진읍 주문리","61","0061","0000","주문진라일플로리스4차","27.857","202202","21","14,500","15","2017","오리나루2길 25","","중개거래","강원 강릉시"
"강원도 강릉시 주문진읍 주문리","61","0061","0000","주문진라일플로리스4차","23.662","202202","25","9,300","2","2017","오리나루2길 25","","중개거래","강원 강릉시"
"강원도 강릉시 주문진읍 주문리","61","0061","0000","주문진라일플로리스4차","31.9353","202202","26","8,800","14","2017","오리나루2길 25","","중개거래","강원 강릉시"
"강원도 강릉시 주문진읍 주문리","61","0061","0000","주문진라일플로리스4차","23.662","202202","28","11,000","13","2017","오리나루2길 25","","중개거래","강원 원주시"
"강원도 강릉시 주문진읍 주문리","1585","1585","0000","케이티레파트더블루힐","59.33","202202","14","8,500","12","2007","주문북로 147-32","","직거래","-"
"강원도 강릉시 지변동","334","0334","0000","덕원임대","33.471","202202","18","5,900","10","1998","죽헌길85번길 25","","중개거래","강원 강릉시"
"강원도 강릉시 지변동","334","0334","0000","덕원임대","52.176","202202","19","8,000","2","1998","죽헌길85번길 25","","중개거래","강원 강릉시"
"강원도 강릉시 지변동","334","0334","0000","덕원임대","59.961","202202","23","10,000","10","1998","죽헌길85번길 25","","중개거래","강원 강릉시"
"강원도 강릉시 지변동","334","0334","0000","덕원임대","59.961","202202","24","12,800","7","1998","죽헌길85번길 25","","중개거래","강원 강릉시, 경기 광명시"
"강원도 강릉시 초당동","143","0143","0000","우성","59.91","202202","4","14,000","9","1997","연당길 67-15","","직거래","-"
"강원도 강릉시 초당동","155","0155","0000","유화3","45.68","202202","3","12,000","9","1996","연당길 82","","중개거래","강원 강릉시"
"강원도 강릉시 초당동","155","0155","0000","유화3","45.68","202202","3","14,000","10","1996","연당길 82","","중개거래","강원 강릉시"
"강원도 강릉시 초당동","135-18","0135","0018","이화해변(A동)","35.7","202202","4","6,800","2","1988","초당원길 21","","중개거래","강원 강릉시"
"강원도 강릉시 포남동","1239-1","1239","0001","강릉3차","59.67","202202","9","7,500","4","1987","강릉대로 395-1","","중개거래","강원 강릉시"
"강원도 강릉시 포남동","1114-4","1114","0004","강릉6","59.8","202202","15","7,000","4","1989","강릉대로359번길 4","","중개거래","강원 강릉시"
"강원도 강릉시 포남동","444","0444","0000","대목7차","67.5","202202","6","8,800","5","1991","보래미하길65번길 32","","중개거래","강원 강릉시"
"강원도 강릉시 포남동","422-3","0422","0003","대인4","19.99","202202","16","4,580","8","1995","강릉대로469번길 14","","중개거래","강원 강릉시"
"강원도 강릉시 포남동","422-3","0422","0003","대인4","19.99","202202","16","4,500","4","1995","강릉대로469번길 14","","중개거래","강원 강릉시"
"강원도 강릉시 포남동","1104-6","1104","0006","대일","59.4","202202","9","9,000","5","1985","성덕포남로213번길 4","","중개거래","강원 강릉시"
"강원도 강릉시 포남동","1063","1063","0000","동덕.영진광업소사원주택","104.17","202202","24","17,000","5","1989","보래미하길65번길 24","","중개거래","강원 강릉시"
"강원도 강릉시 포남동","1226","1226","0000","동명맨션","113.175","202202","23","18,400","4","1990","산양길 20","","중개거래","강원 강릉시"
"강원도 강릉시 포남동","1241-6","1241","0006","미진맨션2","84.57","202202","28","18,700","10","1990","강릉대로 422-12","","중개거래","강원 강릉시"
"강원도 강릉시 포남동","1125","1125","0000","세화상가","57.66","202202","8","9,000","3","1994","경강로2223번길 15","","중개거래","강원 강릉시"
"강원도 강릉시 포남동","1293-1","1293","0001","일송","59.135","202202","11","16,800","2","1995","하평3길 37","","중개거래","강원 강릉시"
"강원도 강릉시 포남동","1005-246","1005","0246","조성빌라","74.73","202202","23","9,950","5","1986","성덕포남로153번길 17","","중개거래","강원 강릉시"
"강원도 강릉시 포남동","1293-2","1293","0002","청송","84.42","202202","5","24,500","3","1994","하평길 41","","중개거래","강원 강릉시"
"강원도 강릉시 포남동","1293-2","1293","0002","청송","84.42","202202","10","25,800","11","1994","하평길 41","20220218","중개거래","강원 강릉시"
"강원도 강릉시 포남동","1293-2","1293","0002","청송","84.42","202202","10","25,800","10","1994","하평길 41","","중개거래","강원 강릉시"
"강원도 강릉시 포남동","1065","1065","0000","포남1주공","42.54","202202","6","14,000","2","1981","보래미상길 65","","중개거래","강원 강릉시"
"강원도 강릉시 포남동","1065","1065","0000","포남1주공","42.54","202202","16","17,000","1","1981","보래미상길 65","","중개거래","강원 강릉시"
"강원도 강릉시 포남동","1065","1065","0000","포남1주공","42.54","202202","24","17,200","3","1981","보래미상길 65","","중개거래","강원 강릉시"
"강원도 강릉시 홍제동","1007","1007","0000","강릉홍제힐스테이트","129.689","202202","16","47,300","13","2007","토성로 39","","중개거래","강원 강릉시"
"강원도 강릉시 홍제동","1007","1007","0000","강릉홍제힐스테이트","129.689","202202","23","46,000","3","2007","토성로 39","","중개거래","강원 강릉시"
"강원도 강릉시 홍제동","125-1","0125","0001","미성","59.8","202202","20","13,300","4","1994","토성로 55","","중개거래","강원 강릉시"
"강원도 강릉시 홍제동","1037","1037","0000","우미린아파트","84.9843","202202","14","53,500","2","2016","선수촌로 55","","직거래","-"
"강원도 강릉시 홍제동","122","0122","0000","우산","33.225","202202","28","8,150","2","1997","토성로 51","","중개거래","강원 강릉시"
"강원도 강릉시 홍제동","158","0158","0000","홍제푸르지오","84.9","202202","10","33,000","9","2005","홍제로71번길 1","","중개거래","강원 강릉시"
"강원도 강릉시 홍제동","158","0158","0000","홍제푸르지오","84.9","202202","12","33,400","8","2005","홍제로71번길 1","","중개거래","강원 강릉시"
"강원도 강릉시 홍제동","1055","1055","0000","홍제한신휴플러스","59.96","202202","4","31,000","6","2015","토성로 56","","중개거래","강원 강릉시"
"강원도 강릉시 홍제동","1055","1055","0000","홍제한신휴플러스","84.59","202202","24","39,000","4","2015","토성로 56","","중개거래","강원 강릉시"
"강원도 강릉시 회산동","608","0608","0000","강릉서희스타힐스리버파크","59.928","202202","10","30,000","12","2017","회산로 344","","중개거래","강원 강릉시"
"강원도 강릉시 회산동","608","0608","0000","강릉서희스타힐스리버파크","59.928","202202","10","30,000","12","2017","회산로 344","20220314","중개거래","강원 강릉시"
"강원도 강릉시 회산동","608","0608","0000","강릉서희스타힐스리버파크","59.928","202202","12","27,000","2","2017","회산로 344","","중개거래","강원 강릉시"
"강원도 강릉시 회산동","610","0610","0000","강릉회산한신더휴","84.9955","202202","7","47,000","14","2019","회산로 313","","중개거래","강원 강릉시"
"강원도 강릉시 회산동","610","0610","0000","강릉회산한신더휴","84.8863","202202","15","49,100","12","2019","회산로 313","","중개거래","강원 강릉시"
"강원도 강릉시 회산동","130","0130","0000","힐스테이트강릉","59.9893","202202","5","33,000","2","2018","회산로383번길 37","","중개거래","강원 강릉시"
"강원도 강릉시 회산동","130","0130","0000","힐스테이트강릉","84.9925","202202","10","44,800","12","2018","회산로383번길 37","","중개거래","강원 강릉시"
"강원도 강릉시 회산동","130","0130","0000","힐스테이트강릉","74.9974","202202","11","40,000","14","2018","회산로383번길 37","","중개거래","강원 강릉시"
"강원도 강릉시 회산동","130","0130","0000","힐스테이트강릉","84.9925","202202","12","45,300","14","2018","회산로383번길 37","","중개거래","강원 강릉시"
"강원도 고성군 간성읍 상리","483-1","0483","0001","간성대명","39.6","202202","4","6,000","12","1998","수성로 126-5","","중개거래","강원 고성군"
"강원도 고성군 간성읍 상리","483-1","0483","0001","간성대명","39.6","202202","8","6,000","9","1998","수성로 126-5","","중개거래","강원 고성군"
"강원도 고성군 간성읍 상리","483-1","0483","0001","간성대명","39.6","202202","14","6,300","4","1998","수성로 126-5","","중개거래","강원 고성군"
"강원도 고성군 간성읍 상리","483-1","0483","0001","간성대명","39.6","202202","14","6,500","10","1998","수성로 126-5","","중개거래","강원 고성군"
"강원도 고성군 간성읍 상리","483-1","0483","0001","간성대명","59.4","202202","19","6,800","12","1998","수성로 126-5","","중개거래","강원 고성군"
"강원도 고성군 간성읍 신안리","111","0111","0000","고성삼익레스타운","84.92","202202","3","15,000","2","1998","남천마루2길 6","","중개거래","강원 고성군"
"강원도 고성군 토성면 봉포리","381","0381","0000","봉포스위트엠오션파크","80.4353","202202","11","25,000","14","2020","광포1길 7","","중개거래","강원 속초시"
"강원도 고성군 토성면 봉포리","381","0381","0000","봉포스위트엠오션파크","80.4353","202202","17","25,000","6","2020","광포1길 7","","중개거래","강원 고성군"
"강원도 고성군 토성면 봉포리","381","0381","0000","봉포스위트엠오션파크","80.4353","202202","19","24,800","3","2020","광포1길 7","","중개거래","강원 속초시"
"강원도 고성군 토성면 봉포리","381","0381","0000","봉포스위트엠오션파크","80.4353","202202","21","22,700","2","2020","광포1길 7","","중개거래","강원 고성군"
"강원도 고성군 토성면 봉포리","381","0381","0000","봉포스위트엠오션파크","80.4353","202202","24","25,500","10","2020","광포1길 7","","중개거래","강원 고성군"
"강원도 고성군 토성면 봉포리","381","0381","0000","봉포스위트엠오션파크","80.4353","202202","24","24,700","5","2020","광포1길 7","","중개거래","강원 고성군"
"강원도 고성군 토성면 청간리","217","0217","0000","유진클래시움","59.52","202202","1","17,800","5","2006","아야진해변길 1","","중개거래","강원 고성군"
"강원도 고성군 토성면 청간리","217","0217","0000","유진클래시움","59.52","202202","8","19,800","7","2006","아야진해변길 1","","중개거래","강원 속초시"
"강원도 고성군 토성면 청간리","217","0217","0000","유진클래시움","49.8","202202","12","20,000","6","2006","아야진해변길 1","","중개거래","서울 마포구"
"강원도 동해시 구미동","521","0521","0000","현진","39.97","202202","7","3,400","1","1995","구미4길 1","","중개거래","강원 동해시"
"강원도 동해시 구미동","521","0521","0000","현진","52.06","202202","10","6,200","15","1995","구미4길 1","","중개거래","강원 동해시"
"강원도 동해시 동회동","442","0442","0000","대동1,2차","84.5525","202202","7","13,510","3","1995","청운1길 29","","직거래","-"
"강원도 동해시 동회동","442","0442","0000","대동1,2차","84.5525","202202","15","14,000","16","1995","청운1길 29","","중개거래","강원 동해시"
"강원도 동해시 동회동","442","0442","0000","대동3차","45","202202","10","6,400","12","1996","청운1길 29","","중개거래","강원 동해시"
