순위,카페명,주소,가격
1,The Combo (above),7500 W. North Ave,$5.35 
2,The Italian Sub,901 W. Randolph St,$9.25 
3,The Pork Shish Kabob,6656 W. Diversey Ave,$7.90 
4,The Steak Sandwich,6401 W. Addison St,$6.65 
5,The Nhu Lan Special (No. 1),4810 N. Sheridan Rd,$6.50 
6,The Papa con Chorizo Pambazo,3300 W. Fullerton Ave,$7.99 
7,The Doner,545 W. Diversey Pkwy,$10.90 
8,The Turkey Cristo,405 E. 75th St,$12 
9,The Anda Masala,833 W. Chicago Ave,$7.99 
10,The Crispy Fish Fillet,5635 W. Montrose Ave,$5.99 
